date,panigale_demand(*100 units),new_model_launch_flag,model_refresh_intensity,limited_edition_allocation_index,dealer_inventory_index,delivery_lead_time_weeks,waitlist_backlog_index,avg_transaction_price_eur,financing_rate_pct,luxury_consumer_sentiment_index,global_ducati_backdrop_index,trackday_seasonality_index,marketing_spend_index,search_interest_index,social_buzz_index,superbike_racing_momentum_index,motogp_visibility_index,competitor_pressure_index,used_bike_price_index,supply_constraint_index,euro_usd_index,luxury_market_volatility_index,regulatory_emissions_pressure_index
01-08-2019,846,0,0.108,0,62.12,5.35,50.66,26598.62,2.83,100.23,93.24,92.24,53.49,73.27,54.11,74.71,61.81,39.99,107.17,0.264,103.01,26.24,33.86
01-09-2019,791,0,0.108,0,57.91,6.22,57.22,26298.32,2.77,97.12,91.26,79.43,48.4,69.98,57.79,75.24,58.42,42.91,104.73,0.314,104.96,26.08,35.52
01-10-2019,788,0,0.165,0,57.64,7.22,68.99,26377.83,2.7,94.68,95.49,55,45.08,61.1,48.43,70.34,49.19,41.02,106.92,0.369,102.22,29.06,36.17
01-11-2019,738,0,0.275,0,60.7,8.15,84.12,26728.2,2.62,91.15,89.92,30.57,45.76,63.5,52.96,68.79,50.6,41.07,106.84,0.41,102.86,31.67,33.02
01-12-2019,719,0,0.424,0,55.27,9.6,103.22,26451.17,2.53,86.27,92.33,17.76,47.63,65.23,51.02,69.33,45.83,38,109.33,0.458,103.21,33.31,36.83
01-01-2020,691,0,0.581,0,56.52,11.14,126.66,26495.74,2.45,85.2,91.03,20,56.22,70.04,58.39,62.62,48.68,36.53,111.06,0.52,104.11,32.24,36.75
01-02-2020,703,0,0.704,0,56.59,12.83,151.99,26667.81,2.37,79.14,88.91,31.62,65.31,82.54,60.52,70.8,49.49,35.96,107.19,0.585,102.57,35.25,36.16
01-03-2020,826,1,0.75,0,45.66,15.88,172.32,26832,2.3,82.15,88.8,44.43,65.08,86.22,76.12,60.8,60.32,43.33,106.93,0.614,102.2,39.24,39.79
01-04-2020,862,0,0.704,0.001,42.84,15.07,184.26,26616.27,2.25,80.15,86.8,55,70.45,93,66.31,61.87,58.93,45.17,108.45,0.621,100.88,36.26,38.79
01-05-2020,785,0,0.581,0.007,42.72,16.13,195.23,26307.91,2.22,77.42,91.97,65.57,72.69,90.28,58.46,63.16,62.91,45.48,106.95,0.687,101.29,36.75,36.6
01-06-2020,793,0,0.422,0.059,45.63,16.06,196.77,26817.9,2.22,78.7,94.69,78.38,67.8,86.79,59.65,56.48,62.31,46.19,108.74,0.682,100.4,35.78,39.21
01-07-2020,739,0,0.27,0.26,46.62,15.78,192.53,27255.19,2.24,82.58,94.58,90,67.2,83.65,54.54,51.46,66.98,46.72,107.6,0.677,98.52,37,39.97
01-08-2020,791,0,0.152,0.632,43.41,15.1,182.13,27234.18,2.28,82.61,99.26,92.24,60.52,89.44,66.17,54.9,64.24,54.71,106.82,0.638,99.89,34.96,38.92
01-09-2020,717,0,0.076,0.85,49,14.5,173.3,27518.57,2.35,92.18,102.71,79.43,54.12,69.43,63.95,52.88,59.81,54.29,105.45,0.637,99.51,32.41,39.47
01-10-2020,621,0,0.033,0.632,54.41,13.47,162.15,27261.91,2.44,91.64,106.58,55,52.89,63.33,57.98,48.72,54.46,58.27,105.75,0.597,98.85,27.81,39.73
01-11-2020,563,0,0.013,0.26,63.88,12.61,153.07,27323.79,2.55,94.65,108.2,30.57,46.22,61.19,49.53,54.79,48.19,61.34,101.71,0.583,97.73,27.92,37.1
01-12-2020,485,0,0.004,0.059,62.52,11.69,141.46,27807.87,2.67,97.98,107.62,17.76,47.28,50.24,45.27,54.6,50.46,64.47,102.6,0.531,96.45,26.46,39.66
01-01-2021,472,0,0.001,0.007,63.65,11.42,134.95,27922.4,2.8,97.06,111.26,20,49.2,55.66,36.11,57.29,49.85,64.85,101.15,0.538,94.91,23,39.87
01-02-2021,562,0,0.001,0.001,56.83,11.5,131.09,28083.03,2.93,103.08,113.9,31.62,51.63,55.42,37.06,52.32,55.85,67.47,102.55,0.54,96.45,21.42,42.16
01-03-2021,581,0,0.001,0,63.97,10.37,122.36,28331.19,3.07,102.13,115.95,44.43,56.82,67.09,49.59,52.15,59.59,66.15,96.68,0.482,96.78,24.23,41.12
01-04-2021,658,0,0.004,0,55.71,10.96,121.49,28392.47,3.2,105.39,114.12,55,57.3,60.74,39.76,56.45,59.9,68.46,100.32,0.523,96.33,20.45,40.64
01-05-2021,618,0,0.013,0,59.84,10.38,117.72,28526.15,3.32,103.39,119.25,65.57,55.57,72.26,53.8,58.85,66.55,67.97,100.45,0.491,95.83,22.83,41.17
01-06-2021,847,0,0.033,0,49.33,10.95,118.33,28703.12,3.44,107.79,112.39,78.38,58.74,77.54,51.94,63.23,67.27,64.23,98.72,0.512,94.79,21.67,42.79
01-07-2021,891,0,0.076,0,42,11.19,119.25,28786.1,3.54,105.88,114.51,90,58.81,68.74,62.78,66.51,58.86,62.94,99.28,0.506,95.43,20.81,41.62
01-08-2021,911,0,0.152,0,45.87,10.99,120.52,28948.05,3.63,110.53,114.99,92.24,54.71,73.62,60.27,68.23,64.1,64.28,100.12,0.491,95.03,21.13,41.28
01-09-2021,839,0,0.27,0,52.44,10.99,125.1,29064.53,3.7,104.18,114.3,79.43,52.87,66.99,57.66,68.21,57.73,54.62,101.44,0.493,93.71,18.8,42.07
01-10-2021,850,0,0.422,0,48.71,11.43,132.33,29227.07,3.77,105.54,111.94,55,48.53,70.68,64.56,71.92,53.14,52.03,98.4,0.492,94.38,21.83,43.81
01-11-2021,760,0,0.581,0,53.05,11.23,137.8,28943.29,3.84,102.3,114.11,30.57,50.66,71.08,54.93,70.74,50.77,53.85,97.98,0.457,93.22,24.4,43.56
01-12-2021,778,0,0.704,0,45.02,11.63,143.21,29175.75,3.9,103.39,113.24,17.76,56.32,67.84,53.62,75.17,51.81,54.26,101.83,0.442,93.92,24.14,43.29
01-01-2022,991,1,0.75,0,49.98,13.26,148.68,29728.46,3.97,106.1,111.94,20,57.36,80.54,66.42,74.11,54.87,47.19,99.37,0.449,92.33,24.24,43.75
01-02-2022,1053,0,0.704,0,43.07,12.08,150.59,29681.35,4.04,107.26,111.67,31.62,61.12,82.95,53.43,79.51,54.48,49.51,99.47,0.448,92.3,27.47,43.13
01-03-2022,1025,0,0.581,0,45.2,11.81,147.41,29720.93,4.12,111.8,109.63,44.43,65.85,90.11,56.62,81.71,62.75,44.08,102.5,0.442,94.08,25.47,43.85
01-04-2022,1092,0,0.422,0,39.09,11.74,140.89,29918.19,4.21,104.16,106.86,55,67.68,88.66,55.81,87.78,68.55,40.77,101.7,0.444,93.98,25.58,43.56
01-05-2022,975,0,0.27,0,42.97,11.02,130.65,29906.83,4.31,102.14,107.65,65.57,63.27,91.97,56.69,84.71,75.36,38.78,103.97,0.429,93.79,27.39,44.29
01-06-2022,1106,0,0.152,0,37.22,11.09,123.3,29900.21,4.43,106.48,108.41,78.38,57.05,81.3,41.62,87.12,71.11,41.34,102.16,0.452,93.46,28.8,46.54
01-07-2022,889,0,0.076,0,43.78,10.1,112.75,29793.89,4.56,101.91,107.68,90,53.65,77.39,46.68,88.9,72.84,37.29,103.42,0.419,91.64,25.4,43.91
01-08-2022,946,0,0.033,0,50.31,9.74,106.71,29824.4,4.71,106.27,106.74,92.24,51.21,72.3,41.86,88.35,72.5,39.2,105.94,0.435,93.73,28.55,44.65
01-09-2022,922,0,0.013,0.004,53.14,8.89,97.85,29950.93,4.86,103.71,106.86,79.43,46.36,65.73,44.82,88.44,71.68,42.6,104.12,0.394,94.45,29.3,44.25
01-10-2022,901,0,0.004,0.031,42.44,8.9,91.23,29582.7,5.02,105.53,104.19,55,43.48,56.7,54.78,94.45,65.69,38.9,107.31,0.386,94.02,27.48,44.27
01-11-2022,870,0,0.001,0.138,54.38,7.88,83.67,29832.69,5.17,107.69,104.46,30.57,44.65,61.2,51.68,89.34,67.21,43.29,105.44,0.355,94.3,29.19,46.1
01-12-2022,919,0,0,0.335,46.94,7.43,74.88,29859.67,5.33,104.55,104.62,17.76,47.25,57.53,59.01,88.94,60.3,38.87,109.15,0.318,96.51,28.03,45.86
01-01-2023,985,0,0,0.45,60.39,6.37,66.62,29992.82,5.48,106.92,102.73,20,53.05,71.35,71.05,94.34,63.83,41.81,109.74,0.293,95.83,29.75,48.99
01-02-2023,988,0,0,0.335,54.17,5.64,55.58,29695.1,5.63,106.4,99.99,31.62,54.89,67.22,66.64,95.88,71.12,41.57,105.18,0.239,96.8,24.87,46.82
01-03-2023,907,0,0,0.138,60.18,4.7,45.36,30202.06,5.76,99.05,99.69,44.43,60.01,69.16,58.84,92.18,71.99,46.72,108.1,0.208,97.64,26.73,48.99
01-04-2023,936,0,0,0.031,58.35,3.98,34.88,30062.18,5.87,100.83,101.97,55,62.56,72.58,55.39,92.52,77.15,50.33,106.14,0.171,96.81,23.54,48.88
01-05-2023,939,0,0,0.004,58.24,3.51,26.88,30149.49,5.97,98.42,102.16,65.57,55.49,75.66,60.84,94.56,82.05,50.96,108.68,0.157,98.35,22.37,47.75
01-06-2023,1026,0,0,0,50.68,3.26,19.55,30134.92,6.05,106.44,101.04,78.38,57.03,76.9,58.37,92.22,86.45,55.74,108.46,0.135,99.81,21.65,50.81
01-07-2023,1073,0,0,0,50.16,2.84,13.11,30390.37,6.11,100.18,98.68,90,54.6,79.21,53.85,92.01,79.92,53.67,106.88,0.118,100.73,25.65,48.88
01-08-2023,1067,0,0,0,50.59,2.92,11.37,30428.95,6.15,103.79,95.49,92.24,49.2,69.89,56.77,95.91,81.88,58.08,111.82,0.139,99.78,25.49,50.66
01-09-2023,1013,0,0,0,55.87,2.68,10.26,30742.18,6.18,94.07,96.78,79.43,50.88,69.65,54.63,94.73,80.08,58.61,110.59,0.138,99.96,25.11,50.8
01-10-2023,963,0,0,0,52.81,2.7,9.08,30454.36,6.19,95.46,98.69,55,42.88,71.86,58.89,95.76,73.64,62.59,110.23,0.134,100.69,24.01,49.9
01-11-2023,863,0,0,0,66.89,2.05,7.36,30856.18,6.19,97.59,96.33,30.57,38.58,58.16,44.76,88.45,70.57,64.68,108.97,0.125,100.91,26.68,50.58
01-12-2023,789,0,0,0,62.63,2.09,5.75,31041.22,6.17,94.73,94.18,17.76,44,56.29,45.04,89.35,71.4,66.26,110.23,0.12,101.98,28.93,50.71
01-01-2024,810,0,0,0,65.9,2.25,7.38,31096.18,6.16,94.31,94.86,20,46.31,56.14,39.96,90.39,71.36,63.55,111.22,0.144,100.14,31.41,59.87
01-02-2024,831,0,0,0,59.75,2.27,6.47,31211.4,6.14,88.59,90.92,31.62,50.91,61.2,46.82,86.65,77.94,64.28,109.54,0.126,100.7,31.52,61.59
01-03-2024,800,0,0,0,62.6,2.12,5.67,31365.84,6.12,94,91.24,44.43,59.93,65.31,44.04,90.13,76.6,64.35,105.4,0.124,99.93,33.2,63.09
01-04-2024,808,0,0,0,67.89,2,2.68,31594.94,6.1,91.45,89.99,55,58.85,73.44,42.81,91.53,83.1,64.34,110.07,0.101,99.84,33.43,63.91
01-05-2024,859,0,0.001,0,64.08,2,2.58,31413.66,6.1,89.61,92.15,65.57,58.11,74.86,49.36,87.37,86.76,63.34,106.87,0.117,100.71,37.62,61.5
01-06-2024,945,0,0.004,0,61,2,2.83,31985.12,6.1,86.17,92.23,78.38,52.01,67.42,51.14,89.7,86.75,62.41,109.05,0.119,100.76,34.25,63.27
01-07-2024,986,0,0.013,0,51.4,2.37,3.33,31870.89,6.11,88.18,90.58,90,54.23,75.94,55.01,94.39,80.49,56.23,107.41,0.12,99.25,35.25,63.1
01-08-2024,995,0,0.033,0,54.31,2.43,5.24,32073.31,6.14,86.35,89.38,92.24,54.51,78.26,61.02,96.7,83.99,51.55,107.43,0.129,100,35.79,63.06
01-09-2024,992,0,0.076,0,55.49,2.47,7.45,32203.9,6.17,82.89,91.06,79.43,46.59,68.1,50.54,95.74,83.08,56.72,111.27,0.127,99.87,37.28,63.91
01-10-2024,935,0,0.152,0.007,55.34,2.69,11.53,32139.87,6.22,87.06,90.7,55,38.33,64.75,53.8,97.15,79.97,46.5,108.37,0.13,100.12,34.57,64.02
01-11-2024,947,0,0.27,0.056,60.95,2.87,18.47,32268.2,6.27,87.2,90.8,30.57,45.21,64.14,61.38,95.36,77.69,48.11,107.48,0.138,98.21,35.72,64.69
01-12-2024,1068,0,0.422,0.245,50.42,3.67,27.6,32015.22,6.33,90.87,93.55,17.76,56.46,72.03,61.49,100,75.31,44.01,109.16,0.141,97.25,34.92,66.05
01-01-2025,1117,0,0.581,0.595,44.12,4.3,37.49,32496.85,6.39,83.44,92.65,20,66.52,94.51,76.71,100,81.54,42.65,107.06,0.136,96.58,32.58,65.54
01-02-2025,1306,0,0.704,0.8,33.5,5.27,48.61,32579.53,6.46,90.61,92.36,31.62,72.15,100,69.87,100,83.76,40.77,110.81,0.148,96.15,32.91,65.25
01-03-2025,1407,1,0.75,0.595,34.35,6.48,51.74,35051.1,6.52,88.26,93.9,44.43,75.23,100,97.91,100,90.41,39.14,105.67,0.101,97.72,29.58,75.4
01-04-2025,1282,0,0.704,0.245,37.27,5.03,53.26,35265.96,6.57,93.17,94.66,55,72.91,100,64.49,100,93.53,40.74,106.29,0.11,95.25,28.02,74.77
01-05-2025,1363,0,0.581,0.06,38.9,4.72,49.5,35135.13,6.61,94.61,99.02,65.57,68.38,100,64.71,100,92.86,38.97,106.69,0.1,97.23,28.42,73.61
01-06-2025,1291,0,0.422,0.042,43.97,4.65,45.92,35299.7,6.65,94.79,100.06,78.38,59.94,90.15,53.61,100,92.49,43.15,107.64,0.132,95.41,24.36,72.54
01-07-2025,1246,0,0.27,0.154,42.2,4.58,40.52,35425.78,6.67,98.36,101.14,90,63.96,89.98,56.77,100,92.53,42.85,103.36,0.145,95.47,22.27,73.09
01-08-2025,1276,0,0.152,0.372,39.91,3.91,30.03,35473.83,6.68,94.52,103.09,92.24,62.09,84.23,62.31,100,87,44.24,103.18,0.112,95.87,25.02,75.68
01-09-2025,1353,0,0.076,0.5,35.9,4.11,24.98,35491.59,6.67,101.65,105.19,79.43,49.8,77.48,61.06,100,80.73,43.37,106.13,0.146,95.47,24.64,74.08
01-10-2025,1132,0,0.033,0.372,48.28,2.9,15.81,35522.69,6.66,98.26,103.17,55,52.11,74.26,52.66,100,76.04,45.69,104.63,0.103,96.88,21.38,73.91
01-11-2025,1047,0,0.013,0.153,48.49,3.19,14.32,35285.16,6.64,97.2,105.82,30.57,43.22,61.42,46.71,100,74.26,45.39,105.41,0.147,97.75,20.27,74.49
01-12-2025,964,0,0.004,0.035,55.15,2.52,9.94,35153.77,6.61,101.34,103.35,17.76,46.48,53.81,48.79,100,77.27,49.04,100.87,0.118,96,22.18,74.86
