Date,Macro_Health,Social_Hype,Price_Index,Competitor_Release,Ducati_Demand(*1000 units)
03-09-2017,93.24439415,3.37,20727.08889,0,54.94
10-09-2017,105.6821947,-6.13,21499.32119,0,47.92
17-09-2017,96.55699129,-3.73,20789.41778,0,36.16
24-09-2017,95.60252931,6.69,21565.71531,0,36.43
01-10-2017,126.332765,4.04,20341.22796,0,32.02
08-10-2017,72.44924335,-0.06,21072.15445,0,36.7
15-10-2017,93.97117049,4.59,21256.16941,0,27.22
22-10-2017,118.8635303,-1.82,21125.53331,0,29.38
29-10-2017,79.79703067,-5.16,20598.66955,0,34.11
05-11-2017,97.13695551,-6.31,20732.41224,1,34.23
12-11-2017,126.3306622,-5.64,20737.26558,0,0
19-11-2017,96.74511397,-11.51,20630.09573,0,0
26-11-2017,88.81331118,-5.63,21273.19708,0,0
03-12-2017,116.5983048,-5.13,21289.27344,0,0
10-12-2017,102.0939759,-10.69,21237.79482,0,17.07
17-12-2017,80.06117792,-10.1,21513.43565,0,9.61
24-12-2017,89.14126599,-5.94,21209.10079,0,26.41
31-12-2017,91.17607212,-3.64,21157.41092,0,21.55
07-01-2018,109.9457691,-5.42,21333.81117,0,26.36
14-01-2018,88.74103027,-6.34,22292.11589,0,33.71
21-01-2018,67.31871112,-6.29,21591.40339,0,19.1
28-01-2018,77.60624937,1.78,21675.68072,0,30.83
04-02-2018,94.80858265,-2.83,21493.23627,0,53.74
11-02-2018,66.66699912,1.87,22630.89668,0,29.08
18-02-2018,92.09102436,8.7,21460.35198,0,25.37
25-02-2018,96.32554408,4.57,21602.30651,0,29.18
04-03-2018,73.1188265,0.52,21661.33425,0,54.02
11-03-2018,89.52116709,114.09,21533.41327,0,64.07
18-03-2018,86.15939109,72.23,21646.2356,0,86.46
25-03-2018,102.9323568,46.95,21424.38547,0,71.2
01-04-2018,102.8729916,20.08,21425.82812,0,78.92
08-04-2018,77.60390118,11.15,21702.18132,0,70.23
15-04-2018,87.22088062,6.99,21224.07087,0,70.53
22-04-2018,65.50612681,8.33,21957.85817,0,66.33
29-04-2018,78.31282881,2.2,21612.12101,0,57.77
06-05-2018,87.67153944,102.6,21747.49379,0,85.8
13-05-2018,56.92750986,63.45,21508.91269,0,102.85
20-05-2018,74.29780699,177.06,21884.385,0,78.12
27-05-2018,107.1520477,93.61,20591.49093,0,112.25
03-06-2018,70.11731088,53.69,21450.58798,0,105.41
10-06-2018,82.65910435,35.39,21580.93003,0,89.09
17-06-2018,80.31383592,22.79,21276.89148,0,80.44
24-06-2018,70.94046429,3.57,21704.08745,0,91
01-07-2018,74.12915264,2.85,20581.49186,0,74.41
08-07-2018,85.59621389,0.24,20377.69788,1,67.2
15-07-2018,86.64522764,-3.1,19498.7791,0,32.5
22-07-2018,88.52271624,-7.06,19920.06538,0,17.58
29-07-2018,67.64638864,-5.88,20345.84926,0,56.02
05-08-2018,83.64564371,-10.18,20497.93358,0,24.63
12-08-2018,79.45870548,3.22,19731.19353,0,68.17
19-08-2018,89.67306349,0.48,19988.09608,0,55.78
26-08-2018,64.07482347,-9.82,19883.11516,1,63.93
02-09-2018,79.55319904,-4.24,21544.39475,0,21.63
09-09-2018,68.40536594,0.85,21618.85665,0,9.24
16-09-2018,84.96149742,-1.63,21183.8568,0,27.83
23-09-2018,68.38471918,-10.21,21748.49049,0,18.09
30-09-2018,79.91922135,-19.99,21280.04356,0,52.38
07-10-2018,52.25857107,-1.64,21988.06221,0,45.14
14-10-2018,80.59844747,0.9,21407.16397,0,43.09
21-10-2018,85.93990758,-0.47,21612.23715,0,36.92
28-10-2018,63.17621041,-4.78,21652.76265,0,52.96
04-11-2018,83.70543046,-0.2,21865.8222,0,27.04
11-11-2018,103.9180662,9.76,21930.49684,0,29.05
18-11-2018,54.17269384,8.49,21682.39888,0,28.99
25-11-2018,80.04868859,18.57,21850.98827,0,20.24
02-12-2018,98.59589114,6.39,21007.38387,0,18.03
09-12-2018,81.19773922,12.42,21870.55565,0,21.85
16-12-2018,86.4413768,9.57,21453.22295,0,19.37
23-12-2018,119.0178089,2.2,21318.28157,0,24.69
30-12-2018,71.81663016,-10.45,21808.4728,0,32.05
06-01-2019,90.96149796,-4.77,22099.32919,0,22.99
13-01-2019,80.57768416,-14.04,21780.73094,0,29.16
20-01-2019,111.7988696,114.51,21863.34976,0,21.49
27-01-2019,87.11894826,72.05,22006.56957,0,71.61
03-02-2019,93.10727029,42.04,22130.56295,0,63.98
10-02-2019,104.3986639,20.83,22470.5786,0,43.93
17-02-2019,84.63494532,14.84,22407.66918,0,43.84
24-02-2019,93.94693448,4.65,21958.17764,1,29.74
03-03-2019,82.64194363,3.98,21880.56182,0,19.22
10-03-2019,89.09150774,0.26,21811.14903,0,15.99
17-03-2019,104.9621574,0.29,21910.11315,0,26
24-03-2019,111.6092804,0.99,21825.17437,0,12.62
31-03-2019,98.88034703,0.64,21519.46541,0,63.46
07-04-2019,87.08743564,9.17,22261.45452,0,62.1
14-04-2019,68.97981473,9.65,22127.29016,0,57.38
21-04-2019,65.7457306,-0.6,22308.04673,0,64.69
28-04-2019,84.27231779,-3.55,21993.40488,0,68.27
05-05-2019,99.07039242,1.34,22347.74789,0,75.1
12-05-2019,107.0033742,-2.66,22370.12652,0,73.17
19-05-2019,115.5495024,3.95,21845.9,0,78.14
26-05-2019,104.6344185,-1.13,22033.92671,0,78.97
02-06-2019,89.15401166,-1.57,22311.49606,0,81.35
09-06-2019,106.1566088,5.52,22270.83585,0,72.48
16-06-2019,94.62088489,-0.18,22723.54943,0,73.84
23-06-2019,91.90561868,2.93,22211.44758,0,73.31
30-06-2019,83.38490281,2.19,21938.48662,0,71.63
07-07-2019,89.26166866,1.27,20574.79642,0,72.93
14-07-2019,99.36408517,2.18,20149.79596,0,71.86
21-07-2019,89.87418516,3.14,20891.71529,0,85.33
28-07-2019,72.74971745,4.65,20154.2182,0,68.24
04-08-2019,94.53679389,1.09,20349.1763,0,55.54
11-08-2019,94.84524844,0.5,20682.88016,0,67.88
18-08-2019,78.18095295,-10.36,20123.30317,0,63.17
25-08-2019,95.85671216,-4.66,20440.06047,0,54.94
01-09-2019,118.4846855,-7.3,21693.66248,0,55.33
08-09-2019,75.17041049,97.48,22547.22015,0,46.31
15-09-2019,103.1679661,56.41,21592.90174,0,81.69
22-09-2019,102.5187023,36.11,21783.76782,0,53.68
29-09-2019,100.8562621,21.57,21976.308,0,52.58
06-10-2019,96.23558235,17.28,22034.91635,0,42.84
13-10-2019,98.9408679,157.98,21519.01884,0,51.82
20-10-2019,102.7139699,89.38,21745.40939,0,268.77
27-10-2019,91.31155635,58.7,21771.36653,0,58.39
03-11-2019,101.7149411,40.27,22332.29731,0,30.78
10-11-2019,120.3387441,25.26,22220.93559,0,96.08
17-11-2019,79.75703903,11.54,22089.27162,0,61.03
24-11-2019,99.1843108,8.08,21891.52635,0,50.62
01-12-2019,102.6987294,0.04,21853.68238,0,42.48
08-12-2019,90.95827049,-3.69,21619.63461,0,10.54
15-12-2019,115.5229675,2.46,22060.19245,0,21.14
22-12-2019,111.8915749,-3.38,21950.29497,0,24.64
29-12-2019,115.1396254,-0.73,22354.77788,0,23.92
05-01-2020,115.0977552,-1.78,22341.42196,0,20.27
12-01-2020,123.4236088,-5.44,22227.4716,0,21.03
19-01-2020,107.8035979,160.27,21808.44147,0,29.78
26-01-2020,102.9870271,98.2,22189.42547,0,277.72
02-02-2020,97.59670908,53.19,23214.4275,0,176.85
09-02-2020,93.1034657,28.05,22099.72872,0,131.65
16-02-2020,112.9200266,19.32,22471.47512,0,58.92
23-02-2020,90.34850917,15.08,22299.58762,0,68.2
01-03-2020,142.8666022,6.99,22569.49217,0,62.35
08-03-2020,128.4370889,16.1,22658.22658,0,63.45
15-03-2020,110.1187428,18.83,22710.8868,0,72.05
22-03-2020,98.75658792,7.86,22298.81379,0,70.1
29-03-2020,88.7745923,2.63,22223.95438,0,55.89
05-04-2020,121.052735,6.53,22195.3633,0,60.15
12-04-2020,104.2941792,10.77,22726.33069,0,72.91
19-04-2020,93.209482,2.72,22190.17531,0,86.45
26-04-2020,101.34367,7.68,22569.9908,0,82.25
03-05-2020,134.915395,0.04,22024.1741,0,81.8
10-05-2020,120.2448923,-2.58,22297.54146,0,74.11
17-05-2020,119.0940897,3.88,22437.24851,0,77.27
24-05-2020,116.5825425,-0.26,22190.09376,0,73.88
31-05-2020,99.50581461,6.86,22443.06738,0,65
07-06-2020,116.1564612,8.11,22636.92272,0,100.88
14-06-2020,87.78925058,7.46,22359.77306,0,85.72
21-06-2020,116.1811046,-4.79,22459.35311,0,87.93
28-06-2020,108.0114063,5.92,22603.86512,0,54.99
05-07-2020,102.6704205,-3.04,20837.20384,0,76.34
12-07-2020,109.0991238,1.54,20923.6889,0,82.2
19-07-2020,113.9609595,3.23,20870.75657,0,77.67
26-07-2020,134.7059863,3.19,20866.56899,0,76.26
02-08-2020,106.8092692,-5.28,21437.24354,0,78.44
09-08-2020,107.209524,-4.19,21350.65362,0,41.41
16-08-2020,120.3847632,0.94,20728.94707,0,52.89
23-08-2020,117.8382653,-6.89,21075.99036,0,82.11
30-08-2020,114.2798593,-0.89,21243.36694,0,51.76
06-09-2020,132.0747355,-3.3,22244.63353,0,48.21
13-09-2020,117.1107788,-6.65,22680.1798,0,54.49
20-09-2020,139.1478168,-0.44,22448.06303,0,50.01
27-09-2020,120.1336408,-12.99,22004.02367,0,38.92
04-10-2020,118.8164853,-12.85,22476.46647,0,21.44
11-10-2020,122.4210093,-4.13,22422.3648,0,32.28
18-10-2020,133.516252,-0.34,21722.25873,0,26.17
25-10-2020,114.5867986,-1.16,22306.01715,0,34.01
01-11-2020,108.7925569,-8.99,22847.75921,0,26.84
08-11-2020,113.0298724,-9.79,22350.21365,0,20.42
15-11-2020,131.4359723,126.46,22491.69953,0,2.25
22-11-2020,118.2573712,79.27,22700.03582,0,193.14
29-11-2020,154.411509,47.93,22444.33442,0,148.97
06-12-2020,129.1422126,29.42,22344.88381,0,106.22
13-12-2020,134.3545816,8.16,23014.27383,0,66.64
20-12-2020,128.0607142,9.73,22306.43219,0,32.35
27-12-2020,129.3312327,1.23,22458.97087,0,38.27
03-01-2021,137.5991305,-7.62,23451.62351,0,42.97
10-01-2021,136.151484,-7.81,23059.96312,0,11.6
17-01-2021,108.1803812,-14.49,23070.91303,0,21.2
24-01-2021,120.7326877,-6.89,22815.98473,0,0
31-01-2021,137.4089468,-2.39,23303.89646,0,9.17
07-02-2021,115.3577913,-0.67,22955.86277,0,40.68
14-02-2021,118.440792,-0.16,23018.61807,0,49.58
21-02-2021,128.9461179,5.33,23071.95948,0,44.38
28-02-2021,131.0658948,3.09,22502.47332,0,29.06
07-03-2021,127.3385065,-0.18,23015.25662,0,51.27
14-03-2021,107.2871016,-6.43,23134.40003,0,51.64
21-03-2021,148.1487933,-4.57,22518.66454,0,40.83
28-03-2021,133.2545452,-5.51,23351.86136,0,27.79
04-04-2021,128.9559188,-9.47,22644.92119,1,43.86
11-04-2021,111.0354449,-5.21,23183.30869,0,11.89
18-04-2021,131.8607806,0.25,22814.20437,0,24.14
25-04-2021,131.4327313,-0.48,23211.45256,0,17.4
02-05-2021,116.0149437,-2.99,23524.55342,0,45.74
09-05-2021,129.9357512,1.33,23232.77237,0,66.43
16-05-2021,139.2881144,6.52,22456.76977,0,65.3
23-05-2021,123.0475562,10.87,23348.39797,0,82.98
30-05-2021,121.5989679,-1.03,23036.66543,0,76.43
06-06-2021,129.3269897,-9.38,22948.87882,0,73.03
13-06-2021,144.4505991,3.38,22869.33086,0,46.52
20-06-2021,144.2328179,6.33,22890.4084,0,66.83
27-06-2021,112.56686,2.33,23524.36472,0,80.86
04-07-2021,98.47530631,1.27,21882.02963,0,69.41
11-07-2021,148.6139963,-0.2,20940.49798,0,76.62
18-07-2021,114.1033335,-7.01,21372.1933,0,71.2
25-07-2021,142.1828923,-13.92,20918.00557,0,77.93
01-08-2021,87.52721973,-6.92,21100.36239,0,39.51
08-08-2021,124.4053082,4.37,21082.62472,0,25.72
15-08-2021,131.0229678,1.72,21566.58753,0,52.77
22-08-2021,132.5466053,8.08,21644.63784,0,55.52
29-08-2021,118.3344987,-8.97,21141.6778,0,101.69
05-09-2021,121.6300323,-11.55,22704.19229,0,36.25
12-09-2021,109.9768416,1.66,23522.09745,0,41.54
19-09-2021,138.4839872,2.7,23270.65923,0,60.55
26-09-2021,122.2021901,4.06,23254.00555,0,43.92
03-10-2021,119.9177028,7.81,23323.29302,0,29.24
10-10-2021,113.8662981,0.31,23123.59331,0,54.35
17-10-2021,119.7444181,-6.13,23395.0349,0,20.2
24-10-2021,118.4870352,-7.65,23221.51287,0,36.13
31-10-2021,133.3034923,-1.24,22450.92824,0,25.08
07-11-2021,117.7907864,-0.94,23014.6904,0,31.41
14-11-2021,122.8217526,-4.18,22638.08027,0,29.36
21-11-2021,135.6958076,-3.11,22747.90364,0,24.93
28-11-2021,136.3691831,3.09,23205.78648,0,24.52
05-12-2021,133.3695659,9.18,22773.93783,0,31.88
12-12-2021,132.4635413,10.1,22908.04928,0,39.13
19-12-2021,122.5690376,11.32,23381.45254,0,29.14
26-12-2021,122.6397388,11.25,23341.57648,0,38.83
02-01-2022,121.1904471,11.21,23685.56612,0,56.31
09-01-2022,124.0209039,8.95,23650.06533,0,41.4
16-01-2022,117.4018551,7.77,23230.04142,0,44.64
23-01-2022,121.4189419,6.96,23389.44281,0,25.87
30-01-2022,118.9219247,-5.03,23307.49604,0,24.52
06-02-2022,151.0229349,-10.95,23971.32863,0,12.03
13-02-2022,110.2292367,-10.39,23343.59825,0,2.13
20-02-2022,121.1267396,-3.01,23981.27361,0,0.64
27-02-2022,94.07423886,-0.12,23297.70597,0,26.56
06-03-2022,143.1031874,5.35,23245.27252,0,35.91
13-03-2022,112.2305635,13.04,23485.07169,0,53.97
20-03-2022,114.9008576,6.08,23975.16105,0,56.02
27-03-2022,103.3823921,0.4,23406.42519,0,28.83
03-04-2022,94.6057976,-6.39,23536.87115,0,52.82
10-04-2022,120.3381949,-0.54,23441.13959,0,22.84
17-04-2022,92.13032612,-10.64,23762.72751,0,49.58
24-04-2022,133.1255488,-11.72,23636.79888,0,26.54
01-05-2022,126.6093198,-5.85,23437.59931,0,40.08
08-05-2022,93.15560017,-7.33,23234.10253,0,35.48
15-05-2022,137.0864271,-13.06,22814.55221,0,51.04
22-05-2022,111.1782226,-16.07,23536.47587,0,36.51
29-05-2022,119.4822085,-8.99,22826.26514,0,28.95
05-06-2022,105.9788862,-4.2,23109.2848,0,31.36
12-06-2022,114.9024462,162.99,23661.72509,0,66.6
19-06-2022,117.4341726,100.58,23585.65433,0,295.64
26-06-2022,92.44075653,175.7,23860.04852,0,211.38
03-07-2022,117.0611925,95.69,22072.02084,0,327.61
10-07-2022,105.2040034,50.03,22340.22756,0,245.41
17-07-2022,101.603529,28.57,22136.72163,0,147.9
24-07-2022,121.6198001,19.18,21833.90906,0,109.6
31-07-2022,93.69125312,10.07,22035.83541,0,105.26
07-08-2022,91.42690555,5.41,22560.42763,0,83.6
14-08-2022,110.9772637,9.47,22317.11701,0,73.78
21-08-2022,116.9765579,9.94,22210.93593,0,74.11
28-08-2022,112.9401683,14.5,21649.66706,0,80.93
04-09-2022,119.8923857,5.99,23756.93631,0,59.44
11-09-2022,108.7508717,7.63,23627.6839,0,47.72
18-09-2022,102.5368605,7.57,23459.34361,0,34.18
25-09-2022,70.57978122,-2.3,23987.58818,0,28.75
02-10-2022,102.0349613,0.21,23907.73696,0,33.25
09-10-2022,136.0117366,-1.02,23248.75844,0,34.1
16-10-2022,97.10369055,1.52,23557.01198,0,39.37
23-10-2022,97.27136908,-2.46,23277.93302,0,29.9
30-10-2022,68.69384199,-6.07,23112.35508,0,23.79
06-11-2022,95.2836817,-4.78,23627.09912,0,9.59
13-11-2022,82.19882899,0.7,23755.0653,0,20.81
20-11-2022,97.60755372,7.95,23575.66712,0,25.1
27-11-2022,108.5165061,6.47,23469.40223,0,9.11
04-12-2022,80.14753121,7.51,23328.58714,0,29.32
11-12-2022,99.91887933,-4.54,23627.95331,0,15.28
18-12-2022,94.64800024,6.14,24003.03681,0,16.99
25-12-2022,99.82980568,7.13,23308.85102,0,25.48
01-01-2023,124.5425309,-0.4,24272.00595,0,18.56
08-01-2023,93.37055807,6.91,24123.98303,0,28.34
15-01-2023,90.86955272,12.84,23985.71256,0,23.61
22-01-2023,97.32089445,7.19,24078.2623,0,18.58
29-01-2023,110.2980496,11.95,24358.51675,0,0
05-02-2023,79.59148445,10.02,23776.42896,0,33.1
12-02-2023,86.35185522,4.75,23680.43299,0,15.31
19-02-2023,90.46195726,1.66,24003.75714,0,30.51
26-02-2023,87.75823703,-0.43,24391.16,0,27
05-03-2023,102.828725,-3.01,23676.52536,0,28.65
12-03-2023,93.29588507,-4.57,23897.2581,0,37.35
19-03-2023,105.2877461,-5.17,23880.55187,0,33.58
26-03-2023,87.04296098,2.13,24088.2433,0,31.92
02-04-2023,98.8928528,-2.53,24096.37721,0,24.6
09-04-2023,99.8647279,-1.13,23274.86379,0,37.72
16-04-2023,74.28814505,2.81,24001.42791,0,27.74
23-04-2023,94.65554692,-3.32,24404.55489,0,29.7
30-04-2023,83.20277243,0.08,24297.89746,0,34.36
07-05-2023,95.47726001,-4.42,24203.25326,0,55.18
14-05-2023,85.45059168,-0.47,23736.023,0,45.5
21-05-2023,74.5646891,-2.25,23835.67085,0,46.81
28-05-2023,99.06528997,-2.47,23405.10135,0,49.17
04-06-2023,91.5352157,-12.09,23544.75123,0,38
11-06-2023,115.3395758,-11.34,24229.493,0,30.46
18-06-2023,99.36133925,-3.12,23799.41155,0,29.19
25-06-2023,81.01550663,4.77,23776.15812,0,46.71
02-07-2023,83.56589599,3.15,22491.87793,0,80.5
09-07-2023,85.61780401,12.72,22844.75128,0,79.58
16-07-2023,95.87957624,7.12,23061.83613,0,67.55
23-07-2023,90.65267004,9.97,22505.85406,0,83.92
30-07-2023,72.16472159,3.6,22655.68947,0,89.99
06-08-2023,110.7565838,-0.92,22084.22085,0,68.08
13-08-2023,95.19702802,3.59,22302.89563,0,74.21
20-08-2023,99.09742855,-6,22604.10258,0,70.2
27-08-2023,74.24577322,-15.01,22639.25128,0,59.46
03-09-2023,85.89734472,-8.93,24289.68634,0,22.01
10-09-2023,79.58447223,-7.87,23931.1559,0,15.64
17-09-2023,98.64012157,-11.06,24097.92501,1,25.19
24-09-2023,106.9959594,-6.48,23911.64006,0,0
01-10-2023,85.96159614,4.01,23859.68496,0,0
08-10-2023,97.16022575,-2.15,24326.69395,0,0
15-10-2023,79.62679781,-5.87,23513.77004,0,0
22-10-2023,96.27560943,-8.51,23880.42776,0,27.8
29-10-2023,89.55201468,-3.31,23746.28003,0,28.2
05-11-2023,98.0451108,-9.17,23632.73672,0,19.5
12-11-2023,76.12262093,1.14,23891.49812,1,6.01
19-11-2023,78.43925064,-5.05,23872.67816,0,0
26-11-2023,69.51984086,-9.24,23675.53769,0,0
03-12-2023,81.25979127,3.2,23768.6264,0,0
10-12-2023,76.74693676,6.71,24063.7826,0,0
17-12-2023,113.5872434,-7.26,23707.30527,0,15.08
24-12-2023,82.53645577,-1.17,24337.24702,0,15.16
31-12-2023,77.93311539,-4.42,24180.96751,0,8.01
07-01-2024,93.24887272,-0.07,24514.53736,0,19.88
14-01-2024,102.0357242,-8.22,24864.46279,0,19
21-01-2024,94.1253165,1.85,25057.29146,0,13.48
28-01-2024,98.82683712,2.42,24809.71265,0,5.34
04-02-2024,65.65268423,1.64,24722.73815,0,12.73
